Date,Open,High,Low,Close,Adj Close,Volume
1994-10-01,9.004993,9.227889,8.692939,9.094151,2.960312,20459666
1994-11-01,9.004993,9.183310,8.470043,8.603780,2.800689,28768478
1994-12-01,8.559201,8.960414,8.425464,8.737518,2.890125,20338255
1995-01-01,8.737518,9.584522,8.648359,9.539943,3.155543,17576032
1995-02-01,9.539943,9.762839,9.272468,9.539943,3.155543,23090098
1995-03-01,9.539943,9.539943,8.692939,8.960414,3.009201,29570424
1995-04-01,8.960414,9.495364,8.960414,9.183310,3.084057,18103464
1995-05-01,9.138730,10.030314,9.049572,10.030314,3.368508,30662861
1995-06-01,9.985735,10.609843,9.718260,9.851997,3.358772,31806615
1995-07-01,9.896576,10.253210,9.718260,10.208631,3.480358,18469950
1995-08-01,10.164051,10.253210,9.317047,9.495364,3.237188,34807174
1995-09-01,9.495364,10.342368,9.138730,10.208631,3.533109,21959809
1995-10-01,10.208631,10.743581,10.074893,10.431526,3.610253,21000278
1995-11-01,10.431526,10.743581,10.030314,10.342368,3.579396,33517052
1995-12-01,10.342368,10.788160,10.297789,10.743581,3.774384,22845870
1996-01-01,10.699001,11.144793,10.609843,10.966476,3.852689,20530887
1996-02-01,11.011056,11.590585,9.762839,10.074893,3.539464,43045326
1996-03-01,10.164051,10.297789,9.361626,9.495364,3.382205,42600609
1996-04-01,9.539943,9.584522,8.648359,8.826676,3.144022,39165990
1996-05-01,8.826676,9.361626,8.603780,8.782097,3.128142,33247588
1996-06-01,8.737518,9.361626,8.024251,9.272468,3.359846,41415923
1996-07-01,9.272468,9.361626,8.380884,8.380884,3.036783,23086173
1996-08-01,8.336305,8.826676,8.291726,8.380884,3.036783,29791380
1996-09-01,8.291726,8.737518,8.202568,8.470043,3.125446,22265162
1996-10-01,8.514622,9.049572,8.514622,9.004993,3.322841,21667068
1996-11-01,9.004993,9.762839,8.960414,9.094151,3.355740,39406856
1996-12-01,9.094151,9.094151,8.648359,9.004993,3.379160,46825681
1997-01-01,9.004993,9.406205,7.935093,8.202568,3.078047,71964380
1997-02-01,8.247147,8.425464,7.756776,8.024251,3.011133,45828856
1997-03-01,8.024251,8.113409,7.132668,7.266405,2.780273,30860824
1997-04-01,7.355563,7.400143,6.686876,7.043509,2.694988,34802408
1997-05-01,7.088088,7.355563,6.731455,6.776034,2.592646,62057567
1997-06-01,6.820613,7.533880,6.776034,7.489301,2.929473,47571263
1997-07-01,7.444722,8.403174,7.400143,8.380884,3.278219,34211043
1997-08-01,8.291726,8.670649,7.890514,8.492332,3.321812,46194776
1997-09-01,8.536912,8.648359,8.224857,8.358595,3.334029,28720532
1997-10-01,8.403174,8.559201,7.645328,8.113409,3.236232,27866431
1997-11-01,8.113409,8.782097,7.890514,8.670649,3.458501,34354328
1997-12-01,8.715228,8.960414,7.823645,8.648359,3.518450,28742403
1998-01-01,8.715228,8.804387,6.731455,6.753745,2.747655,48167394
1998-02-01,6.842903,7.377853,6.731455,7.065799,2.874610,50456860
1998-03-01,6.998930,7.957382,6.998930,7.890514,3.249887,42495742
1998-04-01,7.890514,8.492332,7.556170,8.492332,3.497757,31552291
1998-05-01,8.470043,10.074893,8.135699,10.074893,4.149570,67959426
1998-06-01,10.030314,10.921897,9.963445,10.409237,4.326881,46948773
1998-07-01,10.476106,10.810449,10.164051,10.676712,4.438066,32041587
1998-08-01,10.609843,12.526748,10.342368,12.214693,5.077374,74187389
1998-09-01,12.214693,13.106277,11.189372,13.106277,5.491308,60987842
1998-10-01,13.106277,14.621969,13.017118,13.819544,5.790153,114917733
1998-11-01,13.752675,14.911733,13.752675,14.309914,5.995608,44987937
1998-12-01,14.309914,15.045471,13.797254,14.889444,6.277353,37585378
1999-01-01,14.755706,14.934023,13.284593,13.618937,5.741709,40345352
1999-02-01,13.552068,13.596648,12.571327,12.705064,5.356424,52463961
1999-03-01,12.615906,16.717190,12.326141,16.494293,7.000385,72810908
1999-04-01,16.494293,17.029243,15.870185,16.917795,7.180126,57283760
1999-05-01,16.895506,18.009987,16.427425,17.452745,7.407167,48670430
1999-06-01,17.385878,17.452745,14.889444,14.934023,6.370527,58165334
1999-07-01,14.844864,15.758738,14.755706,15.112340,6.446595,38678377
1999-08-01,15.134629,15.446683,14.376783,14.488231,6.180365,28518923
1999-09-01,14.488231,15.023181,12.660485,13.373752,5.738758,40159449
1999-10-01,13.418331,14.020150,12.950250,13.618937,5.843966,30791285
1999-11-01,13.552068,13.841833,10.966476,11.746612,5.040542,48370404
1999-12-01,11.546006,12.526748,11.367689,12.393010,5.354338,39214221
2000-01-01,12.303852,15.156919,11.768902,14.889444,6.432912,57107384
2000-02-01,14.844864,15.580421,13.306883,13.306883,5.749172,58499851
2000-03-01,13.730385,14.532810,12.816512,13.150856,5.717663,45772496
2000-04-01,13.284593,16.026213,13.039408,14.867154,6.463871,35535370
2000-05-01,14.733417,16.694901,14.488231,15.669579,6.812744,38042429
2000-06-01,15.580421,16.182240,14.354494,14.376783,6.284826,45480880
2000-07-01,14.465942,16.048502,14.443652,15.223787,6.655091,27669312
2000-08-01,15.246077,17.742512,15.246077,17.190844,7.514994,44778196
2000-09-01,17.162981,21.888374,17.140692,21.604181,9.493929,70619301
2000-10-01,21.687767,22.311876,19.213623,21.442581,9.422917,80828384
2000-11-01,21.398003,23.983595,19.681705,23.626961,10.410481,71513496
2000-12-01,23.493223,25.320971,22.343081,25.039230,11.032752,68087289
2001-01-01,24.875177,24.875177,19.115549,21.579885,9.508503,100348990
2001-02-01,21.440800,24.065620,21.440800,23.313124,10.272198,58315350
2001-03-01,23.377317,23.947931,21.094864,23.395149,10.397146,68366566
2001-04-01,23.395149,25.057060,22.542795,24.625534,10.943953,83644722
2001-05-01,24.757488,24.910843,23.644793,24.186876,10.749004,68004854
2001-06-01,24.179743,24.179743,22.146933,22.867332,10.225327,72517608
2001-07-01,22.646219,24.126247,18.901569,20.149786,9.010151,94135328
2001-08-01,20.292439,21.041368,19.054922,19.472183,8.707152,73551443
2001-09-01,19.525679,19.857347,13.819544,15.905849,7.167228,87755948
2001-10-01,16.012838,16.287447,14.140514,15.003566,6.760657,134487411
2001-11-01,14.889444,15.941512,14.657632,15.909415,7.168837,86845769
2001-12-01,15.909415,17.364479,15.513552,17.075605,7.769291,79014196
2002-01-01,17.225391,17.560629,16.369473,17.560629,7.989970,68231416
2002-02-01,17.560629,18.594864,17.189730,17.574894,7.996465,51149728
2002-03-01,17.724680,19.215406,17.710415,18.890869,8.668917,50263102
